Poster session,Poster board,Paper number,Presentation type,Primary topic,Title
Afternoon,125,362,spotlight,Applications of interpretability,How do Small Transformer Models Learn Hard Math Tasks?
Afternoon,125,804,poster,Applications of interpretability,Sparse Autoencoders for LoRA-Adapted CLIP Under Domain Shift
Afternoon,126,135,poster,Automated interpretability,SPICE: Simple Polysemantic feature Interpretation via Clustering-based Explanations
Afternoon,200,744,fast track,Circuit Analysis,Disentangling meaning from language in LLM-based machine translation
Afternoon,201,142,fast track,"Concept Discovery (e.g., SAEs, dictionary learning)",Interpreting Genomic Language Models using Sparse Autoencoders
Afternoon,201,296,fast track,"Concept Discovery (e.g., SAEs, dictionary learning)",From Directions to Regions: Decomposing Activations in Language Models via Local Geometry
Afternoon,202,320,fast track,"Concept Discovery (e.g., SAEs, dictionary learning)",What is Missing? Explaining Neurons Activated by Absent Concepts
Afternoon,202,346,fast track,"Concept Discovery (e.g., SAEs, dictionary learning)",Interpretability Transfer from Language to Vision via Sparse Autoencoders
Afternoon,203,188,poster,"Concept Discovery (e.g., SAEs, dictionary learning)",Expander Sparse Autoencoders: Parameter-Efficient Dictionaries for Mechanistic Interpretability
Afternoon,203,411,fast track,"Concept Discovery (e.g., SAEs, dictionary learning)",Position: Causality is Key for Interpretability Claims to Generalise
Afternoon,204,218,poster,"Concept Discovery (e.g., SAEs, dictionary learning)","Decompose Sparsely Where You Should, Absorb Densely Where You Should Not"
Afternoon,204,263,poster,"Concept Discovery (e.g., SAEs, dictionary learning)",What Does a Chemical Language Model Know About Molecules?
Afternoon,205,456,poster,"Concept Discovery (e.g., SAEs, dictionary learning)",Discovering Cross-Language Reasoning Invariance in LLMs with Geometry-Invariant Sparse Autoencoders
Afternoon,205,571,poster,"Concept Discovery (e.g., SAEs, dictionary learning)",LoRAcles: Self-Supervised Weight-Space Interpretability at Scale
Afternoon,206,595,poster,"Concept Discovery (e.g., SAEs, dictionary learning)",FTC: Fourier Transcoder for Monosemantic Sparse Feature Decomposition in Vision Language Model
Afternoon,206,663,poster,"Concept Discovery (e.g., SAEs, dictionary learning)",Feature-Resolved Attention
Afternoon,207,670,poster,"Concept Discovery (e.g., SAEs, dictionary learning)",Feature Recovery Requires Structured Event Regimes in Sparse Reconstruction
Afternoon,207,718,poster,"Concept Discovery (e.g., SAEs, dictionary learning)",Representation Is Not Reliance: Concept-Based Causal Diagnostics of Shortcut Learning in Vision
Afternoon,208,735,poster,"Concept Discovery (e.g., SAEs, dictionary learning)",Scaling Laws for SAE Training Data
Afternoon,208,767,poster,"Concept Discovery (e.g., SAEs, dictionary learning)",Investigating Expert Semantic Specialization in Mixture-of-Expert Models
Afternoon,209,98,spotlight,"Concept Discovery (e.g., SAEs, dictionary learning)",Variant-specific crosscoder features are seed-stable but not detectably task-causal in a GRPO-LoRA math setting
